mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
mountain view center,city,26,"Mountain View, Santa Clara County, California, United States of America",berkeley_and_stockton.json
laguna hills,city,578,"Laguna Hills, Orange County, California, United States of America","anaheim_and_fremont.json,anaheim_and_los angeles.json,avalon_and_long beach.json,avalon_and_los angeles.json,bakersfield_and_riverside.json,carlsbad_and_santa clarita.json,fremont_and_santa ana.json,fremont_and_santa clarita.json,fresno_and_santa clarita.json,irvine_and_los angeles.json,irvine_and_riverside.json,irvine_and_sacramento.json,irvine_and_san diego.json,irvine_and_santa clarita.json,oakland_and_santa ana.json,riverside_and_sacramento.json,riverside_and_temecula.json,san bernardino_and_santa clarita.json,irvine_and_stockton.json,santa clarita_and_santa cruz.json"
redwood gate,city,25,"Redwood City, San Mateo County, California, United States of America",oakland_and_san jose.json
point arena,city,279,"Point Arena, Mendocino County, California, United States of America","avalon_and_oakland.json,long beach_and_san francisco.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san diego.json,mammoth lakes_and_san jose.json,mammoth lakes_and_santa cruz.json,oakland_and_san diego.json,san diego_and_sausalito.json,newport beach_and_sausalito.json"
south huntington beach,city,37,"Huntington Beach, Orange County, California, United States of America",huntington beach_and_los angeles.json
encinitas,city,3703,"Encinitas, San Diego County, California, United States of America","anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_malibu.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_san luis obispo.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_carlsbad.json,avalon_and_san bernardino.json,avalon_and_san diego.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_temecula.json,bakersfield_and_riverside.json,bakersfield_and_san diego.json,berkeley_and_san diego.json,berkeley_and_santa barbara.json,berkeley_and_carlsbad.json,beverly hills_and_san diego.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_malibu.json,carlsbad_and_monterey.json,carlsbad_and_newport beach.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san bernardino.json,carlsbad_and_san diego.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa monica.json,carlsbad_and_temecula.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san diego.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_san diego.json,fresno_and_santa clarita.json,huntington beach_and_monterey.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa clarita.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,irvine_and_temecula.json,long beach_and_san diego.json,long beach_and_temecula.json,los angeles_and_monterey.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_temecula.json,malibu_and_newport beach.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa ana.json,malibu_and_stockton.json,malibu_and_temecula.json,monterey_and_san diego.json,malibu_and_monterey.json,monterey_and_newport beach.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa barbara.json,newport beach_and_temecula.json,pasadena_and_pismo beach.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san luis obispo.json,pasadena_and_santa cruz.json,pasadena_and_stockton.json,pismo beach_and_san diego.json,pismo beach_and_santa monica.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_temecula.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_santa clarita.json,san bernardino_and_temecula.json,san diego_and_san jose.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa monica.json,san diego_and_stockton.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_santa clarita.json,sacramento_and_san diego.json,san jose_and_temecula.json,san luis obispo_and_santa monica.json,santa barbara_and_stockton.json,santa clarita_and_santa cruz.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
santa cruz ca,city,31,"Santa Cruz, Santa Cruz County, California, United States of America",pismo beach_and_santa cruz.json
moreno valley ca,city,3785,"Moreno Valley, Riverside County, California, United States of America","anaheim_and_avalon.json,anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_malibu.json,anaheim_and_mammoth lakes.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_riverside.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_sausalito.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_berkeley.json,avalon_and_fremont.json,avalon_and_fresno.json,avalon_and_mammoth lakes.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_pasadena.json,avalon_and_pismo beach.json,avalon_and_riverside.json,avalon_and_sacramento.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_malibu.json,bakersfield_and_san bernardino.json,beverly hills_and_carlsbad.json,beverly hills_and_sausalito.json,avalon_and_santa barbara.json,avalon_and_santa cruz.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_beverly hills.json,bakersfield_and_carlsbad.json,bakersfield_and_fremont.json,bakersfield_and_irvine.json,bakersfield_and_malibu.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_oakland.json,bakersfield_and_pasadena.json,bakersfield_and_riverside.json,bakersfield_and_san francisco.json,bakersfield_and_san jose.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_malibu.json,berkeley_and_riverside.json,berkeley_and_san bernardino.json,berkeley_and_beverly hills.json,berkeley_and_carlsbad.json,berkeley_and_irvine.json,beverly hills_and_fremont.json,beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_riverside.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_fresno.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_mammoth lakes.json,carlsbad_and_monterey.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_sausalito.json,fremont_and_irvine.json,fremont_and_malibu.json,fremont_and_pasadena.json,fremont_and_san bernardino.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_temecula.json,irvine_and_monterey.json,irvine_and_oakland.json,irvine_and_riverside.json,irvine_and_san bernardino.json,irvine_and_san jose.json,irvine_and_sausalito.json,fremont_and_riverside.json,fresno_and_riverside.json,malibu_and_oakland.json,malibu_and_riverside.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_stockton.json,malibu_and_temecula.json,mammoth lakes_and_pasadena.json,malibu_and_mammoth lakes.json,mammoth lakes_and_riverside.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_riverside.json,monterey_and_temecula.json,malibu_and_monterey.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,riverside_and_sacramento.json,riverside_and_san bernardino.json,riverside_and_san jose.json,riverside_and_stockton.json,san bernardino_and_sausalito.json,san bernardino_and_temecula.json,san diego_and_sausalito.json,san diego_and_stockton.json,san francisco_and_temecula.json,sacramento_and_san diego.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,irvine_and_stockton.json,san jose_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json"
san francisco usa,city,60,"SF, California, United States of America","san francisco_and_sausalito.json,san jose_and_sausalito.json"
san luis obispo north,city,213,"San Luis Obispo, San Luis Obispo County, California, United States of America","fremont_and_san luis obispo.json,long beach_and_san luis obispo.json,los angeles_and_san luis obispo.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,sacramento_and_san luis obispo.json"
temecula,city,4517,"Temecula, Riverside County, California, United States of America","anaheim_and_carlsbad.json,anaheim_and_fresno.json,anaheim_and_monterey.json,anaheim_and_san diego.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,avalon_and_san diego.json,avalon_and_malibu.json,bakersfield_and_san bernardino.json,avalon_and_santa clarita.json,avalon_and_sausalito.json,avalon_and_temecula.json,bakersfield_and_long beach.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_newport beach.json,berkeley_and_san diego.json,berkeley_and_temecula.json,beverly hills_and_san bernardino.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_sausalito.json,big bear lake_and_temecula.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_napa.json,carlsbad_and_oakland.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san diego.json,carlsbad_and_santa clarita.json,carlsbad_and_stockton.json,carlsbad_and_temecula.json,fremont_and_san diego.json,fremont_and_temecula.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_temecula.json,huntington beach_and_sacramento.json,huntington beach_and_san bernardino.json,huntington beach_and_san diego.json,huntington beach_and_santa clarita.json,huntington beach_and_sausalito.json,huntington beach_and_temecula.json,irvine_and_malibu.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_santa barbara.json,irvine_and_sausalito.json,carlsbad_and_los angeles.json,fresno_and_riverside.json,irvine_and_temecula.json,long beach_and_oakland.json,long beach_and_riverside.json,long beach_and_san diego.json,long beach_and_stockton.json,long beach_and_temecula.json,long beach_and_mammoth lakes.json,los angeles_and_oakland.json,los angeles_and_riverside.json,los angeles_and_san diego.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,los angeles_and_temecula.json,malibu_and_napa.json,malibu_and_riverside.json,malibu_and_sausalito.json,malibu_and_temecula.json,mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json,monterey_and_san bernardino.json,monterey_and_temecula.json,napa_and_pismo beach.json,napa_and_temecula.json,newport beach_and_oakland.json,newport beach_and_sacramento.json,newport beach_and_san bernardino.json,newport beach_and_san jose.json,newport beach_and_temecula.json,oakland_and_san bernardino.json,oakland_and_santa clarita.json,pasadena_and_riverside.json,pasadena_and_san diego.json,pasadena_and_sausalito.json,pasadena_and_temecula.json,pismo beach_and_temecula.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_santa clarita.json,riverside_and_sausalito.json,riverside_and_stockton.json,riverside_and_temecula.json,sacramento_and_santa clarita.json,sacramento_and_temecula.json,san bernardino_and_san jose.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_sausalito.json,san bernardino_and_temecula.json,san diego_and_santa clarita.json,san diego_and_temecula.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_temecula.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,newport beach_and_sausalito.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,san bernardino_and_stockton.json,santa clarita_and_sausalito.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,san luis obispo_and_temecula.json,santa ana_and_temecula.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_temecula.json,santa cruz_and_temecula.json,santa monica_and_sausalito.json,santa monica_and_temecula.json,sausalito_and_temecula.json,stockton_and_temecula.json"
